adm1_code,state,st,disease,cases1993,cases1994,cases1995,cases1996,cases1997,cases1998,cases1999,cases2000,cases2001,cases2002,cases2003,cases2004,cases2005,cases2006,cases2007,cases2008,cases2009,cases2010,cases2011,cases2012,cases2013
,North Dakota,ND,Rubella,0,0,,,,,,,,,,,,,,,,,,,
,South Dakota,SD,Rubella,0,0,,,,,,,,,,,,,,,,,,,
,Nebraska,NE,Rubella,0,0,,,,,,,,,,,,,,,,,,,
USA-3530,Kansas,KS,Rubella,0,0,,,,,,,,,,,,,,,,,,,
USA-3555,Delaware,DE,Rubella,0,0,,,,,,,,,,,,,,,,,,,
,Maryland,MD,Rubella,3,0,,,,,,,,,,,,,,,,,,,
,"Washington, DC",DC,Rubella,0,0,,,,,,,,,,,,,,,,,,,
,Virginia,VA,Rubella,0,0,,,,,,,,,,,,,,,,,,,
,West Virginia,WV,Rubella,0,0,,,,,,,,,,,,,,,,,,,
,North Carolina,NC,Rubella,0,0,,,,,,,,,,,,,,,,,,,
,South Carolina,SC,Rubella,0,0,,,,,,,,,,,,,,,,,,,
USA-3543,Georgia,GA,Rubella,0,7,,,,,,,,,,,,,,,,,,,
USA-3542,Florida,FL,Rubella,4,15,,,,,,,,,,,,,,,,,,,
USA-3548,Kentucky,KY,Rubella,1,0,,,,,,,,,,,,,,,,,,,
,Tennessee,TN,Rubella,0,0,,,,,,,,,,,,,,,,,,,
USA-3541,Alabama,AL,Rubella,0,0,,,,,,,,,,,,,,,,,,,
,Mississippi,MS,Rubella,0,NN,,,,,,,,,,,,,,,,,,,
USA-3528,Arkansas,AR,Rubella,0,0,,,,,,,,,,,,,,,,,,,
USA-3535,Louisiana,LA,Rubella,1,0,,,,,,,,,,,,,,,,,,,
,Oklahoma,OK,Rubella,1,4,,,,,,,,,,,,,,,,,,,
,Texas,TX,Rubella,22,9,,,,,,,,,,,,,,,,,,,
,Montana,MT,Rubella,0,0,,,,,,,,,,,,,,,,,,,
USA-3518,Idaho,ID,Rubella,2,0,,,,,,,,,,,,,,,,,,,
,Wyoming,WY,Rubella,0,0,,,,,,,,,,,,,,,,,,,
USA-3522,Colorado,CO,Rubella,3,0,,,,,,,,,,,,,,,,,,,
,New Mexico,NM,Rubella,0,0,,,,,,,,,,,,,,,,,,,
USA-3520,Arizona,AZ,Rubella,2,0,,,,,,,,,,,,,,,,,,,
,Utah,UT,Rubella,4,4,,,,,,,,,,,,,,,,,,,
,Nevada,NV,Rubella,1,1,,,,,,,,,,,,,,,,,,,
,Washington,WA,Rubella,0,0,,,,,,,,,,,,,,,,,,,
,Oregon,OR,Rubella,0,0,,,,,,,,,,,,,,,,,,,
USA-3521,California,CA,Rubella,41,0,,,,,,,,,,,,,,,,,,,
USA-3563,Alaska,AK,Rubella,1,0,,,,,,,,,,,,,,,,,,,
USA-3517,Hawaii,HI,Rubella,28,0,,,,,,,,,,,,,,,,,,,
